CODE,DISTRICT,STATE,pincode
110006,CENTRAL DELHI,DELHI,"DELHI, CENTRAL DELHI 110006"
110006,CENTRAL DELHI,DELHI,"DELHI, CENTRAL DELHI 110006"
110002,CENTRAL DELHI,DELHI,"DELHI, CENTRAL DELHI 110002"
110055,CENTRAL DELHI,DELHI,"DELHI, CENTRAL DELHI 110055"
110002,CENTRAL DELHI,DELHI,"DELHI, CENTRAL DELHI 110002"
110005,CENTRAL DELHI,DELHI,"DELHI, CENTRAL DELHI 110005"
110005,CENTRAL DELHI,DELHI,"DELHI, CENTRAL DELHI 110005"
110005,CENTRAL DELHI,DELHI,"DELHI, CENTRAL DELHI 110005"
110001,CENTRAL DELHI,DELHI,"DELHI, CENTRAL DELHI 110001"
110001,CENTRAL DELHI,DELHI,"DELHI, CENTRAL DELHI 110001"
110001,CENTRAL DELHI,DELHI,"DELHI, CENTRAL DELHI 110001"
110001,CENTRAL DELHI,DELHI,"DELHI, CENTRAL DELHI 110001"
110001,CENTRAL DELHI,DELHI,"DELHI, CENTRAL DELHI 110001"
110008,CENTRAL DELHI,DELHI,"DELHI, CENTRAL DELHI 110008"
110002,CENTRAL DELHI,DELHI,"DELHI, CENTRAL DELHI 110002"
110003,CENTRAL DELHI,DELHI,"DELHI, CENTRAL DELHI 110003"
110005,CENTRAL DELHI,DELHI,"DELHI, CENTRAL DELHI 110005"
110001,CENTRAL DELHI,DELHI,"DELHI, CENTRAL DELHI 110001"
110002,CENTRAL DELHI,DELHI,"DELHI, CENTRAL DELHI 110002"
110005,CENTRAL DELHI,DELHI,"DELHI, CENTRAL DELHI 110005"
110011,CENTRAL DELHI,DELHI,"DELHI, CENTRAL DELHI 110011"
110012,CENTRAL DELHI,DELHI,"DELHI, CENTRAL DELHI 110012"
110002,CENTRAL DELHI,DELHI,"DELHI, CENTRAL DELHI 110002"
110012,CENTRAL DELHI,DELHI,"DELHI, CENTRAL DELHI 110012"
110002,CENTRAL DELHI,DELHI,"DELHI, CENTRAL DELHI 110002"
110001,CENTRAL DELHI,DELHI,"DELHI, CENTRAL DELHI 110001"
